dz	14	0.0
ks	14	0.0
ve	14	0.0
bd	13	0.0
din	13	0.0
ff	13	0.0
pi	13	0.0
cr	12	0.0
test	12	0.0
ty	12	0.0
cho	7	0.0
kr	6	0.0
hz	5	0.0
mh	5	0.0
rs	4	0.0
ho	3	0.0
mus	3	0.0
ng	3	0.0
cn	2	0.0
nz	2	0.0
ec	1	0.0
kj	1	0.0
